entropy,sequentiality,gibberish,string
0.06319677,0.00017064,0.01293022,_ZTIN10__cxxabiv120__si_class_type_infoE
0.06735792,0.00011192,0.01052019,_ZNK10__cxxabiv117__class_type_info10__do_catchEPKSt9type_infoPPvj
0.06488395,0.00013463,0.00971016,_ZNK10__cxxabiv117__class_type_info11__do_upcastEPKS0_PPv
0.06387390,0.00018435,0.01310247,_ZTIN10__cxxabiv117__class_type_infoE
0.06387390,0.00018718,0.00962602,_ZTVN10__cxxabiv117__class_type_infoE
0.06633639,0.00012002,0.00874194,_ZNK10__cxxabiv117__class_type_info20__do_find_public_srcEiPKvPKS0_S2_
0.06275324,0.00017568,0.01021697,_ZN10__cxxabiv117__class_type_infoD1Ev
0.06324229,0.00018231,0.00974153,_ZN10__cxxabiv117__class_type_infoD0Ev
0.06810230,0.00009902,0.01063714,_ZNK10__cxxabiv117__class_type_info12__do_dyncastEiNS0_10__sub_kindEPKS0_PKvS3_S5_RNS0_16__dyncast_resultE
0.06387390,0.00018417,0.01079423,_ZTSN10__cxxabiv117__class_type_infoE
0.05128831,0.00044704,0.02739783,__cxa_allocate_dependent_exception
0.05034363,0.00050028,0.02210614,__cxa_free_dependent_exception
0.06337595,0.00017856,0.01808002,_ZTIN10__cxxabiv119__foreign_exceptionE
0.06365042,0.00016026,0.01733945,_ZTIN10__cxxabiv115__forced_unwindE
0.05002915,0.00046246,0.01401104,__cxa_get_globals_fast
0.06129258,0.00030998,0.01888013,_ZTISt13bad_exception
0.06129258,0.00035349,0.01081609,_ZTVSt13bad_exception
0.06345715,0.00022500,0.01338937,_ZNSt13bad_exceptionD1Ev
0.04991727,0.00070220,0.01311271,__cxa_get_exception_ptr
0.06050240,0.00030421,0.01832333,_ZSt18uncaught_exceptionv
0.06470093,0.00022432,0.01240503,_ZNSt13bad_exceptionD2Ev
0.06313241,0.00018673,0.01564752,_ZNKSt9exception4whatEv
0.06601868,0.00018945,0.01492110,_ZNKSt13bad_exception4whatEv
0.06470093,0.00021976,0.01240133,_ZNSt13bad_exceptionD0Ev
0.06378633,0.00016684,0.01073064,_ZN10__cxxabiv115__forced_unwindD2Ev
0.06244093,0.00017460,0.01128283,_ZN10__cxxabiv115__forced_unwindD1Ev
0.06295715,0.00017001,0.01072854,_ZN10__cxxabiv115__forced_unwindD0Ev
0.06356261,0.00016107,0.01299802,_ZN10__cxxabiv119__foreign_exceptionD2Ev
0.06235175,0.00016723,0.01359673,_ZN10__cxxabiv119__foreign_exceptionD1Ev
0.06281634,0.00016367,0.01299573,_ZN10__cxxabiv119__foreign_exceptionD0Ev
0.05987112,0.00035077,0.01729209,_ZTSSt13bad_exception
0.06365042,0.00016532,0.01412288,_ZTSN10__cxxabiv115__forced_unwindE
0.06337595,0.00017828,0.01504759,_ZTSN10__cxxabiv119__foreign_exceptionE
0.06365042,0.00015081,0.01250985,_ZTVN10__cxxabiv115__forced_unwindE
0.06337595,0.00019116,0.01350020,_ZTVN10__cxxabiv119__foreign_exceptionE
0.06346526,0.00019711,0.01994393,_ZN9__gnu_cxx27__verbose_terminate_handlerEv
0.05739330,0.00035797,0.01672116,_ZSt15get_new_handlerv
0.05080581,0.00033617,0.02142414,__cxa_deleted_virtual
0.05196510,0.00051120,0.01681867,__cxa_current_exception_type
0.05987112,0.00024109,0.00914320,_ZNSt10bad_typeidD1Ev
0.06053669,0.00027741,0.01454762,_ZNKSt9bad_alloc4whatEv
0.05875015,0.00032633,0.01389778,_ZNKSt8bad_cast4whatEv
0.05332274,0.00056177,0.02311693,pthread_cond_broadcast
0.06289046,0.00022218,0.01279465,_ZNKSt10bad_typeid4whatEv
0.06129258,0.00026300,0.00837455,_ZNSt10bad_typeidD2Ev
0.05987112,0.00025687,0.00837168,_ZNSt10bad_typeidD0Ev
0.05173285,0.00055187,0.01830223,__gcclibcxx_demangle_callback
0.05392618,0.00047263,0.03213204,__google_potentially_blocking_region_begin
0.05485180,0.00048100,0.03125184,__google_potentially_blocking_region_end
0.06079814,0.00023083,0.01407297,_ZTVN9__gnu_cxx20recursive_init_errorE
0.06079814,0.00023413,0.01899648,_ZTIN9__gnu_cxx20recursive_init_errorE
0.06104152,0.00019757,0.01340145,_ZN9__gnu_cxx20recursive_init_errorD1Ev
0.06027612,0.00020326,0.01279617,_ZN9__gnu_cxx20recursive_init_errorD2Ev
0.06027612,0.00020802,0.01279386,_ZN9__gnu_cxx20recursive_init_errorD0Ev
0.06079814,0.00021870,0.01573208,_ZTSN9__gnu_cxx20recursive_init_errorE
0.06125239,0.00025132,0.01540145,_ZSt15set_new_handlerPFvvE
0.04732155,0.00068660,0.01253348,__gnu_Unwind_Find_exidx
0.05431493,0.00031474,0.01756530,N9__gnu_cxx24__concurrence_lock_errorE
0.05438123,0.00031307,0.01768143,N9__gnu_cxx26__concurrence_unlock_errorE
0.03500435,0.00037449,0.01966198,__gnu_cxx::__concurrence_lock_error
0.03516767,0.00034961,0.01966696,__gnu_cxx::__concurrence_unlock_error
0.04104988,0.00020861,0.05968000,%s: __pos (which is %zu) > this->size() (which is %zu)
0.03811764,0.00030930,0.02695369,basic_string::_S_create
0.03917819,0.00040587,0.05064513,basic_string::append
0.04422546,0.00014881,0.04630979,basic_string::at: __n (which is %zu) >= this->size() (which is %zu)
0.04021988,0.00028383,0.04383215,basic_string::compare
0.04129739,0.00033112,0.02286984,basic_string::_M_replace_aux
0.03457035,0.00040726,0.04844942,basic_string::assign
0.03627831,0.00038627,0.05597293,basic_string::insert
0.03733094,0.00040492,0.04898326,basic_string::resize
0.03921738,0.00036774,0.04688720,basic_string::replace
0.04239546,0.00024669,0.04074770,basic_string::_S_construct null not valid
0.03571313,0.00037507,0.03658414,basic_string::basic_string
0.03602030,0.00051333,0.03814136,basic_string::substr
0.03965456,0.00030177,0.07453852,pure virtual method called
0.03693722,0.00033600,0.07404593,deleted virtual method called
0.03890471,0.00033429,0.07599165,terminate called recursively
0.04045578,0.00025922,0.08569554,terminate called after throwing an instance of '
0.04020958,0.00028783,0.07721358,terminate called without an active exception
0.03527608,0.00037725,0.05708175,Future already retrieved
0.03834815,0.00027785,0.05565755,Promise already satisfied
0.04619858,0.00014231,0.04190583,not enough space for format expansion (Please submit full bug report at http://gcc.gnu.org/bugs.html):
0.03745809,0.00033259,0.06332524,(anonymous namespace)
0.03937475,0.00035779,0.06895514,construction vtable for 
0.03707970,0.00028832,0.05228382,non-virtual thunk to 
0.03672132,0.00035027,0.07535065,covariant return thunk to 
0.03569269,0.00040186,0.07267843,TLS init function for 
0.04014380,0.00027682,0.06571893,TLS wrapper function for 
0.03540302,0.00037570,0.08859978,reference temporary #
0.03628844,0.00035110,0.08259812,transaction clone for 
0.03637527,0.00031308,0.06946201,non-transaction clone for 
0.03997334,0.00032515,0.06087987,global constructors keyed to 
0.03922604,0.00033697,0.06079928,global destructors keyed to 
0.04202152,0.00013937,0.04203646,std::basic_string<char std::char_traits<char> std::allocator<char> >
0.04066000,0.00019246,0.03444933,std::basic_istream<char std::char_traits<char> >
0.04125181,0.00018030,0.03369476,std::basic_ostream<char std::char_traits<char> >
0.04133565,0.00018441,0.03433774,std::basic_iostream<char std::char_traits<char> >
0.03785304,0.00034760,0.01966507,__gnu_cxx::__concurrence_broadcast_error
0.03691850,0.00035398,0.02184766,__gnu_cxx::__concurrence_wait_error
0.06887119,0.00188949,0.01507503,-+xX0123456789abcdef0123456789ABCDEF
0.07015582,0.00174062,0.01509535,-+xX0123456789abcdefABCDEF
0.06092705,0.00020213,0.01156625,N10__cxxabiv120__si_class_type_infoE
0.06160124,0.00020851,0.01161768,N10__cxxabiv117__class_type_infoE
0.06124967,0.00018445,0.01583229,N10__cxxabiv115__forced_unwindE
0.06093634,0.00019860,0.01676835,N10__cxxabiv119__foreign_exceptionE
0.05702819,0.00034415,0.02278974,St17bad_function_call
0.04322314,0.00026395,0.01956139,*N12_GLOBAL__N_121future_error_categoryE
0.04364673,0.00022905,0.01659439,*N12_GLOBAL__N_121system_error_categoryE
0.04307711,0.00023921,0.02008617,*N12_GLOBAL__N_122generic_error_categoryE
0.05702667,0.00031058,0.01783360,N9__gnu_cxx29__concurrence_broadcast_errorE
0.05681475,0.00030162,0.01924186,N9__gnu_cxx24__concurrence_wait_errorE
0.05805298,0.00026767,0.01768382,N9__gnu_cxx20recursive_init_errorE
0.05987112,0.00022983,0.01991510,NSt8ios_base7failureE
0.05853624,0.00053206,0.02876818,St16invalid_argument
0.04582306,0.00023228,0.03313925,GCC: (GNU) 4.9.x 20150123 (prerelease)
0.04450603,0.00025113,0.04410472,Android clang version 5.0.300080  (based on LLVM 5.0.300080)
0.03820231,0.00029795,0.04421125,.note.gnu.gold-version
0.05611966,0.00049902,0.02255758,abc_action_bar_home_description
0.05687041,0.00044943,0.02358153,abc_action_bar_home_description_format
0.05872554,0.00037531,0.02359395,abc_action_bar_home_subtitle_description_format
0.03008904,0.00061568,0.00738234,%1$s %2$s %3$s
0.05487225,0.00051293,0.01716367,abc_action_bar_up_description
0.06015661,0.00049383,0.02334926,abc_action_menu_overflow_description
0.04994686,0.00089649,0.02039775,abc_action_mode_done
0.05544582,0.00039864,0.01876463,abc_activity_chooser_view_see_all
0.05735030,0.00038886,0.02816430,abc_activitychooserview_choose_application
0.05736028,0.00054064,0.02086548,abc_searchview_description_clear
0.06015879,0.00049509,0.02288545,abc_searchview_description_query
0.05639555,0.00054272,0.02325211,abc_searchview_description_search
0.05945068,0.00044333,0.01949834,abc_searchview_description_submit
0.05655089,0.00050695,0.02257941,abc_searchview_description_voice
0.05704749,0.00041782,0.02971310,abc_shareactionprovider_share_with
0.05789588,0.00038023,0.03178344,abc_shareactionprovider_share_with_application
0.05549461,0.00039740,0.02503313,abc_toolbar_collapse_description
0.05332044,0.00039079,0.03255667,search_menu_title
0.05602076,0.00041465,0.02876051,status_bar_notification_info_overflow
0.05679848,0.00027212,0.02202405,abc_font_family_body_1_material
0.05679848,0.00027135,0.02214201,abc_font_family_body_2_material
0.04980859,0.00053085,0.03606085,sans-serif-medium
0.05564761,0.00032153,0.02978900,abc_font_family_button_material
0.04980859,0.00053085,0.03606085,sans-serif-medium
0.05544803,0.00035740,0.02819053,abc_font_family_caption_material
0.05805298,0.00027605,0.02760604,abc_font_family_display_1_material
0.05805298,0.00027547,0.02774043,abc_font_family_display_2_material
0.05805298,0.00027536,0.02770325,abc_font_family_display_3_material
0.05805298,0.00027466,0.02781931,abc_font_family_display_4_material
0.05153462,0.00060969,0.03502340,sans-serif-light
0.05635039,0.00043123,0.02960151,abc_font_family_headline_material
0.05564929,0.00038697,0.02849176,abc_font_family_menu_material
0.05895073,0.00041343,0.02376200,abc_font_family_subhead_material
0.05358057,0.00041057,0.02843472,abc_font_family_title_material
0.04980859,0.00053085,0.03606085,sans-serif-medium
0.03545308,0.00033684,0.06409234,Android in the Middle
0.05780456,0.00048261,0.02635273,appbar_scrolling_view_behavior
0.04621814,0.00016058,0.03487645,android.support.design.widget.AppBarLayout$ScrollingViewBehavior
0.05115423,0.00056466,0.03349066,bottom_sheet_behavior
0.04243544,0.00025273,0.03370257,android.support.design.widget.BottomSheetBehavior
0.05032319,0.00060498,0.03689212,button_check_host_status
0.03342235,0.00056572,0.07763400,CHECK HOST STATUS
0.04925218,0.00057336,0.03937187,button_kill_connection
0.05037313,0.00084027,0.02215658,button_sniff_all
0.05465571,0.00045587,0.02491417,button_sniff_messaging_apps
0.03391503,0.00047299,0.04375646,SNIFF MESSAGING APPS
0.04866908,0.00061599,0.03839145,cancel_button_label
0.05428123,0.00049375,0.04209429,change_network_interface
0.04036803,0.00023391,0.07363891,Change Network Interface
0.04885477,0.00072781,0.06192297,character_counter_pattern
0.05181126,0.00049911,0.03748486,choose_button_label
0.05002915,0.00051763,0.05054692,destination_port_title
0.03502968,0.00060622,0.10348609,Destination port
0.04514026,0.00057523,0.03080672,error_cidr_parse
0.04217631,0.00021527,0.08984512,"Error: unable to parse cidr file! "
0.04179171,0.00073788,0.03210024,error_cidr_retrieve
0.04211457,0.00021938,0.07098153,Error: unable to retrieve WhatsApp net lists!
0.05083317,0.00061511,0.03486164,error_copy_binaries
0.04296555,0.00024977,0.08038769,ERROR: Unable to copy binaries
0.04812954,0.00066558,0.04445531,error_illegal_character
0.03786904,0.00033455,0.08778429,"Error: illegal character: "
0.04738990,0.00075392,0.02925914,error_kill_module
0.03847722,0.00030850,0.07231614,Error in Kill Connection Module
0.04834475,0.00075867,0.02986243,error_parsing_pcap
0.03962069,0.00028879,0.06506783,"Error parsing pcap file: "
0.04755810,0.00069387,0.04772560,error_permission_denied
0.04109572,0.00023930,0.07569627,"Error: write and read permissions are needed to capture packets!
0.04152593,0.00023558,0.07976331,You will not be able to capture packets."
0.05327633,0.00043661,0.03646220,error_retrieve_announced_prefixes
0.04183237,0.00029543,0.07428918,Unable to retrieve announced prefixes.
0.05151209,0.00041308,0.02791609,error_scanner_not_connected_to_wifi
0.04350111,0.00018874,0.07985997,ERROR: You must be connected to WiFi in order to scan the network.
0.05281061,0.00054190,0.02071953,error_sniff_all_module
0.04046428,0.00029923,0.05680421,"Error in SnifAllModule: "
0.05065285,0.00052908,0.03328089,error_unable_create_folder
0.04174559,0.00019282,0.07195138,Error: unable to create folder pcaps in external storage.
0.05218784,0.00051933,0.03323145,error_unable_parse_prefixes
0.04141744,0.00022940,0.07716314,Error: unable to parse announced prefixes
0.04812954,0.00065365,0.04534224,error_write_permissions
0.04200143,0.00021249,0.08521626,Error: no write permissions. Please give this app write permissions in order to continue.
0.05936667,0.00040371,0.01424706,follow_tcp_and_udp_traffic_between_hosts
0.04450071,0.00020971,0.03332671,Follow TCP and UDP traffic between hosts
0.05398320,0.00079302,0.01547891,follow_tcp_stream
0.03931075,0.00054139,0.02790745,Follow TCP stream
0.05677954,0.00045299,0.01773185,follow_tcp_traffic_between_hosts
0.04095073,0.00032629,0.03434646,Follow tcp traffic between hosts
0.05573913,0.00058526,0.01812423,follow_udp_stream
0.03931075,0.00041024,0.03469950,Follow UDP stream
0.05922596,0.00041632,0.01923618,follow_udp_traffic_between_hosts
0.04267610,0.00027899,0.03843345,Follow UDP traffic between hosts
0.05087604,0.00080608,0.03753485,host_reachable_check
0.04087724,0.00037963,0.07034155,Checking if host is reachable
0.05196589,0.00048011,0.04415662,host_reachable_message
0.03921558,0.00048643,0.07831471,Host is reachable.
0.05505555,0.00042082,0.03900259,host_unreachable_message
0.04305509,0.00025098,0.06581972,Warning: Host is unreachable.
0.03917486,0.00026058,0.01501455,IP Packet %1$d/%2$d
0.05458609,0.00045492,0.03733557,message_copying_binaries
0.04127729,0.00022444,0.07259975,Copying binaries from asset folder to app data folder
0.04689008,0.00072181,0.03308176,message_parsed_pcap
0.04026172,0.00030284,0.06049400,Successfully parsed %d bytes
0.05590159,0.00054116,0.04315364,module_killconnection_message
0.03292618,0.00051413,0.07965570,Killing connection
0.05119266,0.00051723,0.03799974,module_killconnection_title
0.05024017,0.00073151,0.03442926,module_mitm_message
0.03875664,0.00046561,0.05934263,Generic MitM module
0.04563397,0.00073581,0.02722116,module_mitm_title
0.05306766,0.00049052,0.03265868,module_sniffall_message
0.03783648,0.00035458,0.06265904,Capturing all traffic
0.05276380,0.00060919,0.02692085,module_sniffall_title
0.05436552,0.00048802,0.02068092,module_sniffbbm_message
0.03562299,0.00065161,0.03472381,Sniffing BBM traffic
0.05418526,0.00054431,0.01628610,module_sniffbbm_title
0.05576130,0.00049081,0.02545735,module_sniffgroupme_message
0.04003694,0.00037390,0.04047081,Sniffing GroupMe traffic
0.05692031,0.00045330,0.02122623,module_sniffgroupme_title
0.05552501,0.00049965,0.02750912,module_sniffhike_message
0.03620986,0.00039644,0.04464963,Sniffing Hike traffic
0.05467959,0.00047586,0.02251466,module_sniffhike_title
0.05306766,0.00046877,0.03085178,module_sniffimo_message
0.03496766,0.00073260,0.04798046,Sniffing imo traffic
0.05222728,0.00049912,0.02528708,module_sniffimo_title
0.05590159,0.00045592,0.03739906,module_sniffinstagram_message
0.03613968,0.00036354,0.05348141,Sniffing Instagra traffic
0.05686688,0.00039409,0.03257187,module_sniffinstagram_title
0.03684211,0.00041810,0.05345427,Instagra Sniffer
0.05590159,0.00045680,0.02109513,module_sniffkakaotalk_message
0.03864637,0.00033441,0.02924226,Sniffing KakaoTalk traffic
0.05492671,0.00050320,0.01758065,module_sniffkakaotalk_title
0.03760494,0.00047673,0.02439389,KakaoTalk Sniffer
0.05287285,0.00047433,0.02240470,module_sniffmaai_message
0.03382646,0.00051886,0.04107335,Sniffing Maai traffic
0.05383488,0.00047960,0.01798202,module_sniffmaai_title
0.05582987,0.00040909,0.02042740,module_sniffmxit_message
0.03520735,0.00041804,0.03668172,Sniffing Mxit traffic
0.05332274,0.00050814,0.01625140,module_sniffmxit_title
0.05644959,0.00037017,0.02470939,module_sniffnimbuzz_message
0.03861364,0.00039904,0.03715904,Sniffing Nimbuzz traffic
0.05572628,0.00043293,0.02055145,module_sniffnimbuzz_title
0.05467959,0.00045582,0.01858621,module_sniffqq_message
0.03432451,0.00079187,0.02849412,Sniffing QQ traffic
0.05405863,0.00064790,0.01429208,module_sniffqq_title
0.05866075,0.00040195,0.03005255,module_snifftalkray_message
0.03795146,0.00035875,0.04311823,Sniffing Talkray traffic
0.05766366,0.00040361,0.02540661,module_snifftalkray_title
0.05516339,0.00046050,0.03492221,module_snifftelegram_message
0.03845959,0.00042040,0.04890169,Sniffing Telegram traffic
0.05551186,0.00038446,0.03008169,module_snifftelegram_title
0.03634547,0.00041529,0.04611997,Telegram Sniffer
0.05682619,0.00041437,0.02547058,module_snifftextplus_message
0.03982595,0.00033272,0.03637217,Sniffing textPlus traffic
0.05436375,0.00039255,0.02139313,module_snifftextplus_title
0.03815789,0.00030340,0.02872114,textPlus Sniffer
0.05603645,0.00041729,0.01878483,module_sniffvk_message
0.03884485,0.00030754,0.03840437,Sniffing VKontakte traffic
0.05555117,0.00050015,0.01446099,module_sniffvk_title
0.03683397,0.00037533,0.03299401,Vkontakte Sniffer
0.05815360,0.00036956,0.02666745,module_sniffwhatsapp_message
0.03930169,0.00035442,0.04081188,Sniffing WhatsApp traffic
0.05824142,0.00036661,0.02248083,module_sniffwhatsapp_title
0.03947368,0.00046880,0.03614204,WhatsApp Sniffer
0.05546293,0.00046742,0.03408662,module_sniffyahoomessenger_message
0.04045410,0.00033382,0.05042759,Sniffing Yahoo Messenger traffic
0.05824654,0.00041461,0.03017503,module_sniffyahoomessenger_title
0.03846312,0.00027647,0.05464926,Yahoo Messenger Sniffer
0.05505555,0.00041348,0.02770424,module_sniffzalo_message
0.03683397,0.00053942,0.04650489,Sniffing Zalo traffic
0.05519173,0.00044915,0.02268962,module_sniffzalo_title
0.05498782,0.00070313,0.03273414,monitoring_pcap_file
0.04146023,0.00028442,0.06633935,Monitoring pcap file: %s
0.04139449,0.00027585,0.08839203,No host found. Press the refresh button to try again!
0.04966895,0.00049661,0.00858771,no_tcp_flow_data
0.04516008,0.00016721,0.05463954,No TCP flow data. Try inspecting single packet.
0.05134234,0.00066142,0.02557461,open_pcap_description
0.04233579,0.00022155,0.06810988,Click on the button to open an existing *.pcap file to analyze
0.04606043,0.00082619,0.02895243,parse_pcap_service
0.03409577,0.00051265,0.05698207,Parse Pcap service
0.04938351,0.00060586,0.03304532,parsing_pcap_message
0.03807236,0.00038375,0.05340023,Parsing pcap file
0.05650548,0.00039502,0.03933413,password_toggle_content_description
0.04107552,0.00039485,0.05782997,Toggle password visibility
0.05222728,0.00044875,0.02289780,path_password_eye
0.03918591,0.00032903,0.00777528,M124.5C74.5 2.737.61 112c1.734.39 67.5 117.5s9.27-3.11 11-7.5c-1.73-4.39 -6-7.5 -11-7.5zM1217c-2.760 -5-2.24 -5-5s2.24-5 5-5 52.24 55 -2.245 -55zM129c-1.660 -31.34 -33s1.343 33 3-1.34 3-3 -1.34-3 -3-3z
0.05783207,0.00031453,0.02309665,path_password_eye_mask_strike_through
0.03667487,0.00024637,0.01588516,M24.27 L19.7322 L22.2719.46 L4.541.73 L4.541 L231 L2323 L123 L14.27 Z
0.05855569,0.00035253,0.02334517,path_password_eye_mask_visible
0.03556162,0.00024196,0.01546444,M24.27 L24.27 L4.541.73 L4.541.73 L4.541 L231 L2323 L123 L14.27 Z
0.05588033,0.00032816,0.03038421,path_password_strike_through
0.03502616,0.00064149,0.01706493,M3.274.27 L19.7420.74
0.05281061,0.00046365,0.02449572,secret_api_key_strings
0.04980859,0.00058544,0.03712824,source_port_title
0.04668637,0.00071192,0.04310429,start_scan_message
0.03820959,0.00036034,0.08536549,Press the refresh button to start scanning for hosts
0.04871542,0.00081364,0.02575266,stop_parsing_pcap
0.03559558,0.00050344,0.04986358,Stop parsing pcap
0.05272497,0.00036700,0.03300148,title_set_capture_filename
0.03783648,0.00031574,0.07866857,Set capture file name
0.05521662,0.00035498,0.02480044,whatsapp_cidr_update_message
0.04249380,0.00025215,0.05465885,Trying to update whatsapp server info
0.04137127,0.00025584,0.05064975,Translated by David Wyllie.
0.04019219,0.00020542,0.08337534,This eBook is for the use of anyone anywhere at no cost and with
0.04238274,0.00017244,0.06580511,almost no restrictions whatsoever.  You may copy it give it away or
0.04148471,0.00018329,0.07218611,re-use it under the terms of the Project Gutenberg License included
0.04086954,0.00027083,0.05213833,with this eBook or online at www.gutenberg.net
0.04847469,0.00011471,0.05625177,** This is a COPYRIGHTED Project Gutenberg eBook Details Below **
0.04047758,0.00034661,0.06466558,**     Please follow the copyright guidelines in this file.     **
0.04023082,0.00030421,0.05963263,Title: Metamorphosis
0.03986467,0.00040213,0.03850836,Author: Franz Kafka
0.04146023,0.00026342,0.05097795,Translator: David Wyllie
0.04597787,0.00014801,0.03970387,Release Date: August 16 2005 [EBook #5200]
0.04300058,0.00022034,0.04839817,First posted: May 13 2002
0.03996019,0.00028675,0.03572253,Last updated: May 20 2012
0.03760494,0.00045972,0.08161945,Language: English
0.04191561,0.00021399,0.05742074,*** START OF THIS PROJECT GUTENBERG EBOOK METAMORPHOSIS ***
0.04514642,0.00021850,0.03301824,Copyright (C) 2002 David Wyllie.
0.03691464,0.00043401,0.04970080,  Metamorphosis
0.04046428,0.00027525,0.05064975,Translated by David Wyllie
0.04336847,0.00015739,0.07339940,One morning when Gregor Samsa woke from troubled dreams he found
0.04120180,0.00021950,0.07575832,himself transformed in his bed into a horrible vermin.  He lay on
0.04143012,0.00026085,0.06834078,his armour-like back and if he lifted his head a little he could
0.04260456,0.00020501,0.07469220,see his brown belly slightly domed and divided by arches into stiff
0.04178873,0.00019903,0.07325004,sections.  The bedding was hardly able to cover it and seemed ready
0.04330873,0.00018421,0.07732423,to slide off any moment.  His many legs pitifully thin compared
0.04081358,0.00024533,0.07741109,with the size of the rest of him waved about helplessly as he
0.04343657,0.00015097,0.06912455,"What's happened to me?" he thought.  It wasn't a dream.  His room
0.04050354,0.00024120,0.06303152,a proper human room although a little too small lay peacefully
0.04161255,0.00022560,0.07304840,between its four familiar walls.  A collection of textile samples
0.04076034,0.00022748,0.07801216,lay spread out on the table - Samsa was a travelling salesman - and
0.03947434,0.00025589,0.08451608,above it there hung a picture that he had recently cut out of an
0.04270682,0.00018524,0.07805221,illustrated magazine and housed in a nice gilded frame.  It showed
0.04013664,0.00022347,0.07351204,a lady fitted out with a fur hat and fur boa who sat upright
0.04109293,0.00024112,0.07934539,raising a heavy fur muff that covered the whole of her lower arm
0.03764861,0.00045136,0.07138612,towards the viewer.
0.03907822,0.00023868,0.08206486,Gregor then turned to look out the window at the dull weather.
0.04264197,0.00022335,0.07745585,Drops of rain could be heard hitting the pane which made him feel
0.04187392,0.00018621,0.07107938,quite sad.  "How about if I sleep a little bit longer and forget all
0.03948761,0.00023592,0.09302284,this nonsense" he thought but that was something he was unable to
0.04028782,0.00023380,0.08296054,do because he was used to sleeping on his right and in his present
0.04139558,0.00020503,0.08097322,state couldn't get into that position.  However hard he threw
0.04220789,0.00021842,0.07384261,himself onto his right he always rolled back to where he was.  He
0.03768539,0.00026649,0.08049579,must have tried it a hundred times shut his eyes so that he
0.04249127,0.00020319,0.07528811,wouldn't have to look at the floundering legs and only stopped when
0.03898000,0.00026380,0.09249769,he began to feel a mild dull pain there that he had never felt
0.04230821,0.00019243,0.07942913,"Oh God" he thought "what a strenuous career it is that I've
0.04326520,0.00020349,0.08997438,chosen! Travelling day in and day out.  Doing business like this
0.04204524,0.00023024,0.08143634,takes much more effort than doing your own business at home and on
0.04333432,0.00020187,0.08052475,top of that there's the curse of travelling worries about making
0.04131161,0.00025518,0.07762529,train connections bad and irregular food contact with different
0.03958849,0.00028753,0.08071129,people all the time so that you can never get to know anyone or
0.04169381,0.00021924,0.08879071,become friendly with them.  It can all go to Hell!"  He felt a
0.04231188,0.00024099,0.04736176,slight itch up on his belly; pushed himself slowly up on his back
0.04018603,0.00027112,0.06974018,towards the headboard so that he could lift his head better; found
0.03895435,0.00025114,0.08416518,where the itch was and saw that it was covered with lots of little
0.04010789,0.00023342,0.08216168,white spots which he didn't know what to make of; and when he tried
0.04168840,0.00022628,0.07279037,to feel the place with one of his legs he drew it quickly back
0.04036735,0.00023561,0.08667332,because as soon as he touched it he was overcome by a cold shudder.
0.04383575,0.00018917,0.07232574,He slid back into his former position.  "Getting up early all the
